CASENUM,ASCIIRT,CSCIIRT,ESCIIRT,GSCIIRT,ISCIIRT,KSCIIRT
1363,NA,NA,NA,58.87,NA,NA
1364,57.74,64.7,62.56,64.69,66.65,69.96
1365,NA,NA,NA,52.4,NA,NA
1366,NA,NA,NA,49.67,60.82,61.26
1367,NA,NA,NA,79.1,81.29,81.9
1368,NA,NA,NA,71.65,74.17,75.92
1369,55.1,65.97,70.69,68.78,73.44,68.63
1370,50.93,NA,NA,NA,NA,NA
1371,70.21,70.04,74.51,77.47,81.12,NA
1372,NA,NA,NA,75.75,78.06,NA
1373,NA,NA,NA,33.7,33.65,NA
1374,35.43,39.56,37.85,NA,NA,NA
1375,NA,NA,NA,50.78,NA,NA
1376,NA,NA,NA,51.77,47.01,52.92
1377,NA,NA,NA,72.81,79.61,75.47
1378,35.76,38.72,41.65,36.71,53.38,NA
1379,71.06,69.59,76.85,80.17,83.67,81.65
1380,37.97,35.6,NA,NA,NA,NA
1381,37.84,37.93,37.22,NA,NA,NA
1382,39.08,NA,32.05,NA,NA,NA
1383,58.24,64.67,NA,66.35,74.15,NA
1384,NA,NA,NA,53.04,56.21,NA
1385,NA,NA,NA,50.93,NA,NA
1386,58.43,59.72,68.9,64.42,62.64,72.07
1387,56.11,NA,NA,NA,NA,NA
1388,NA,NA,NA,55.28,NA,NA
1389,53.71,NA,59.69,NA,NA,NA
1390,NA,NA,NA,63.14,67.71,68.28
1391,60.65,NA,NA,66.15,64.62,69.94
1392,53.31,57.51,63.92,61.89,62.96,55.3
1393,NA,NA,NA,67.82,69.57,76.36
1394,44.49,59,59.44,NA,58.06,NA
1395,47.94,38.82,59.2,51.45,46.43,NA
1396,40.91,65.05,68.49,69.19,62.28,NA
1397,41.6,52.55,48.76,46.23,48.48,52.83
1398,NA,NA,NA,47.45,NA,NA
1399,46.78,43.53,47.03,58.83,62.38,NA
1400,35.12,38.88,NA,NA,NA,NA
1401,NA,NA,NA,50.94,51,61.91
1402,57.2,61.92,69,71.59,69.51,74.87
1403,40.03,53.69,52,43.49,37.91,52.87
1404,40.28,NA,NA,NA,NA,NA
1405,46.84,59.65,NA,69.19,NA,NA
1406,58.55,64.27,NA,NA,NA,NA
1407,71.05,73.77,76.25,72.97,75.96,NA
1408,NA,NA,NA,45.23,49.87,54.31
1409,NA,NA,NA,64.92,73.3,66.9
1410,39.62,58.66,66.64,65.08,NA,NA
1411,NA,NA,NA,NA,NA,69.97
1412,31.65,45.08,NA,39.16,NA,NA
1413,58.15,60.8,67.92,61.66,58.47,66.77
1414,NA,NA,NA,51.53,61.43,68.8
1415,NA,NA,NA,62.24,57.48,NA
1416,49.16,40.01,64.12,63.67,NA,NA
1417,NA,NA,NA,46.32,NA,50.72
1418,NA,NA,NA,71.99,NA,NA
1419,33.63,39.88,NA,50.44,NA,NA
1420,NA,NA,NA,57.95,NA,NA
1421,NA,NA,NA,47.82,46.99,49.27
1422,NA,NA,NA,50.05,NA,58
1423,NA,NA,NA,62.53,NA,53.77
1424,NA,NA,NA,49.3,NA,NA
1425,48,39.14,53.85,55.62,51.58,57.66
1426,NA,NA,NA,84.78,88.09,90.68
1427,NA,NA,NA,61.92,68.28,63.77
1428,43.58,37.48,45.06,42.79,NA,NA
1429,52.23,57.08,NA,NA,NA,NA
1430,NA,NA,NA,81.39,79.52,82.68
1431,70.41,74.67,77.03,80.33,87.31,85.62
1432,NA,NA,NA,44.72,64.28,NA
1433,61.34,59.22,68.53,69.65,71.52,72.98
1434,NA,NA,NA,55.36,50.03,60.51
1435,59.85,61.95,NA,NA,75.79,77.7
1436,45.62,46.08,39.58,NA,NA,NA
1437,NA,NA,NA,65.57,63.15,64.52
1438,NA,NA,NA,52.96,54.36,52.97
1439,59.39,63.18,70.17,72.74,75.2,79.21
1440,61.29,60.98,59.58,66.61,64.12,NA
1441,NA,NA,NA,NA,69.88,74.89
1442,54.93,62.02,NA,NA,NA,NA
1443,61.96,NA,68.49,74.51,77.72,NA
1444,NA,NA,NA,60.62,65.08,66.43
1445,47.1,NA,38.21,50.56,58.7,NA
1446,NA,NA,NA,66.59,NA,NA
1447,41.94,NA,42.09,46.96,44.78,NA
1448,NA,NA,NA,41.44,NA,NA
1449,51.23,55.21,62.21,62.86,67.51,67.03
1450,NA,NA,NA,48.02,53.54,59.41
1451,NA,NA,NA,73.68,79.5,77.89
1452,63.79,66.99,69.11,76.02,75.7,78.8
1453,NA,NA,NA,74.11,76.85,73.88
1454,NA,NA,NA,69.85,NA,NA
1455,NA,NA,NA,73.74,80.69,80.88
1456,51.69,NA,NA,NA,NA,NA
1457,58.57,NA,64.17,67.75,75.91,75.2
1458,NA,NA,NA,60.11,62.37,62.97
1459,NA,NA,NA,68.14,70.14,75.82
1460,48.89,NA,66.62,67.52,NA,NA
1461,NA,NA,NA,39.89,51.26,60.36
1462,37.78,31.81,NA,NA,NA,NA
1463,NA,NA,NA,49.61,69.27,61.48
1464,53.8,53.83,65.73,63.5,65.39,71.45
1465,54.43,NA,45.1,49.72,52.49,NA
1466,NA,NA,NA,78.99,81.88,85.21
1467,NA,NA,NA,50.23,NA,NA
1468,NA,NA,NA,70.3,78.38,NA
1469,40.99,NA,35.19,35.18,NA,NA
1470,56.52,56.43,NA,65.21,67.14,68.84
1471,NA,NA,NA,59.43,60.36,68.58
1472,43.76,52.69,57.64,52.62,46.39,NA
1473,57.17,65.42,65.83,65.32,NA,NA
1474,NA,NA,NA,58.86,NA,NA
1475,NA,NA,NA,50.72,NA,NA
1476,68.04,68.39,73.73,83.04,85.34,85.18
1477,NA,NA,NA,55.59,65.3,61.41
1478,NA,NA,NA,NA,NA,NA
1479,60.55,58.76,57.65,60.65,68.53,71.89
1480,59.43,50.64,58.9,64.68,64.25,61.77
1481,NA,NA,NA,71.03,67.58,66.61
1482,41.9,47.04,60.38,62.37,NA,NA
1483,45.65,38.28,60.7,63.03,NA,NA
1484,50.56,NA,NA,48.41,49.28,50.86
1485,NA,NA,NA,63.2,NA,NA
1486,NA,NA,NA,71.64,72.39,74.97
1487,50.67,61.43,67.42,65.74,67.11,64.16
1488,45.09,NA,49.33,41.63,57.52,NA
1489,NA,NA,NA,56.14,65.37,NA
