         *         *         *    75.810    82.050         *    65.346     3.684    66.060     3.504     0.030     0.934     0.036     0.000     2.000
         *         *         *    75.050    75.050    80.210    62.470     3.325    63.018     3.204     0.010     0.918     0.073     0.000     2.000
         *         *         *    44.580    57.040    53.780    42.184     2.847    40.893     3.169     0.009     0.095     0.800     0.097     3.000
    63.140    69.450    67.580    66.260         *         *    61.769     2.738    61.851     2.725     0.000     0.956     0.035     0.009     2.000
    42.360    38.330         *    58.930         *         *    41.907     4.057    42.422     3.668     0.126     0.051     0.811     0.011     3.000
         *         *         *    59.590    66.700    64.730    52.168     3.073    54.500     2.587     0.011     0.553     0.424     0.012     2.000
         *         *         *    75.220    76.680    81.400    63.227     3.408    63.763     3.288     0.012     0.926     0.062     0.000     2.000
         *         *         *    44.700    50.760    53.250    40.550     2.469    38.609     2.981     0.005     0.050     0.761     0.184     3.000
         *         *         *    69.910    70.070    70.740    58.075     2.974    58.983     2.784     0.004     0.829     0.164     0.003     2.000
    42.220         *    58.070    58.810    55.810    61.100    46.311     3.039    45.397     3.274     0.000     0.235     0.744     0.021     3.000
         *         *         *    65.660         *         *    55.372     3.221    57.507     2.829     0.032     0.687     0.268     0.013     2.000
         *         *         *    62.630         *         *    52.837     3.188    55.631     2.709     0.035     0.567     0.372     0.026     2.000
    62.870    70.370         *         *         *         *    63.638     3.106    63.743     3.095     0.000     0.964     0.030     0.005     2.000
    49.900    36.200    45.480    47.880    51.530    50.220    42.118     2.059    40.533     2.611     0.000     0.076     0.676     0.249     3.000
    58.540    53.940    64.920    62.940    65.670         *    55.326     2.779    55.890     2.628     0.000     0.777     0.211     0.012     2.000
    41.000    56.530    55.490         *    51.250    42.660    49.091     0.161    49.488     0.000     0.000     0.045     0.052     0.903     4.000
         *         *         *    50.580    58.170    60.390    44.624     3.123    43.494     3.374     0.015     0.177     0.764     0.044     3.000
         *         *         *    59.480    58.070    64.850    48.225     3.001    46.208     3.437     0.008     0.344     0.610     0.037     3.000
    35.130    44.930         *    37.510    41.130         *    39.645     0.390    40.798    -0.087     0.000     0.007     0.207     0.787     4.000
    60.800    59.120    62.440    62.510    70.060    66.130    57.222     2.610    57.526     2.536     0.000     0.876     0.115     0.009     2.000
    54.500    63.890    63.110    70.720    66.910         *    57.497     2.907    57.884     2.800     0.000     0.855     0.141     0.004     2.000
         *         *         *    58.920         *    63.410    49.461     2.974    46.887     3.462     0.008     0.411     0.547     0.034     3.000
    46.770    44.100         *    58.250         *    62.160    45.556     3.351    45.023     3.488     0.001     0.162     0.828     0.009     3.000
