         *         *         *    61.750    68.500    69.760    54.408     3.109    56.055     2.676     0.736     0.005     0.100     0.009     0.000     0.151     1.000
         *         *         *    60.120    65.330    69.220    51.948     3.231    53.767     2.801     0.713     0.003     0.043     0.021     0.000     0.220     1.000
         *         *         *    60.540    58.090         *    48.555     2.875    49.005     3.013     0.492     0.000     0.004     0.315     0.002     0.188     1.000
         *         *         *    48.440    68.580    71.870    46.211     4.507    44.963     4.657     0.360     0.116     0.059     0.005     0.000     0.461     6.000
    37.950    38.360    56.990         *         *         *    40.448     4.534    39.792     4.900     0.124     0.119     0.005     0.209     0.009     0.534     6.000
    49.440    62.480    64.950    71.550    73.240    75.570    56.796     3.930    56.476     4.124     0.132     0.001     0.821     0.000     0.000     0.046     3.000
         *         *         *    35.720    67.940         *    38.791     5.181    39.031     4.994     0.156     0.134     0.005     0.031     0.000     0.673     6.000
         *         *         *    49.550    48.830    41.260    46.038     0.249    49.833    -0.891     0.001     0.000     0.000     0.372     0.627     0.001     5.000
         *         *         *    70.280    72.040         *    58.941     3.300    61.275     2.375     0.475     0.020     0.473     0.001     0.000     0.031     1.000
    60.560    67.420    69.810    72.810    70.790    74.880    61.743     2.728    62.678     2.271     0.686     0.000     0.307     0.001     0.000     0.007     1.000
         *         *         *    53.070    50.900    55.830    44.224     2.169    44.938     1.947     0.061     0.000     0.000     0.857     0.021     0.062     4.000
         *         *         *    63.230    60.380         *    50.623     2.953    51.413     2.883     0.660     0.001     0.011     0.161     0.000     0.166     1.000
         *         *         *    57.440    52.230         *    46.045     2.194    47.054     1.813     0.133     0.000     0.000     0.736     0.036     0.095     4.000
    44.480    61.600    60.650    65.320    64.190    69.980    52.850     3.191    53.757     2.860     0.754     0.000     0.087     0.006     0.000     0.153     1.000
         *         *         *    43.030    40.850    39.160    42.420    -0.295    43.168    -0.520     0.000     0.000     0.000     0.074     0.926     0.000     5.000
         *         *         *    60.820    71.230    67.880    55.234     3.063    56.810     2.631     0.738     0.004     0.124     0.007     0.000     0.126     1.000
         *         *         *    62.220    54.650    56.030    48.726     2.015    49.793     1.642     0.184     0.000     0.000     0.759     0.012     0.044     4.000
    45.970         *    62.210    61.220         *         *    50.807     3.447    51.934     2.941     0.585     0.019     0.121     0.060     0.000     0.215     1.000
         *         *         *    64.490    74.540    69.760    58.063     3.106    60.085     2.451     0.613     0.006     0.322     0.002     0.000     0.057     1.000
         *         *         *    52.610    58.360    57.530    45.816     2.782    49.080     1.746     0.283     0.000     0.000     0.518     0.001     0.197     4.000
         *         *         *    53.230         *         *    45.540     2.840    46.739     1.854     0.280     0.005     0.006     0.443     0.037     0.230     4.000
         *         *         *    60.400    63.120         *    50.693     3.156    52.109     2.868     0.678     0.004     0.023     0.086     0.000     0.210     1.000
         *         *         *    52.360         *    47.090    44.986     1.266    42.890     2.005     0.014     0.000     0.000     0.713     0.265     0.008     4.000
         *         *         *    41.110         *         *    40.041     1.192    42.906    -0.486     0.013     0.000     0.000     0.461     0.470     0.056     5.000
    58.310    62.040    63.990    65.660    71.340    64.730    58.164     2.555    58.342     2.478     0.924     0.000     0.052     0.012     0.000     0.013     1.000
    48.380    43.040    65.570    68.470    80.570         *    45.104     8.042    45.030     8.070     0.000     0.992     0.007     0.000     0.000     0.001     2.000
         *         *         *    83.380    83.650    84.770    69.324     3.337    69.328     3.341     0.010     0.003     0.986     0.000     0.000     0.000     3.000
    41.080         *    61.940         *         *         *    47.342     4.294    49.619     3.097     0.361     0.150     0.089     0.094     0.001     0.305     1.000
    27.130         *    39.480         *         *         *    33.009     3.552    34.013     2.658     0.016     0.014     0.000     0.421     0.133     0.416     4.000
         *         *         *    69.570    71.190    66.340    58.341     2.704    59.180     2.446     0.830     0.000     0.120     0.008     0.000     0.042     1.000
         *    51.740    66.060    69.150         *         *    54.636     3.783    56.368     2.686     0.459     0.081     0.371     0.010     0.000     0.078     1.000
         *         *         *    59.880         *         *    50.509     3.128    52.330     2.861     0.576     0.016     0.055     0.163     0.003     0.187     1.000
         *         *         *    75.160    73.370         *    61.172     3.364    60.234     3.828     0.319     0.012     0.657     0.000     0.000     0.011     3.000
