    60.800    59.120    62.440    62.510    70.060    66.130    57.562     2.495    57.788     2.439     0.066     0.015     0.919     3.000
    54.500    63.890    63.110    70.720    66.910         *    57.646     2.847    58.000     2.743     0.098     0.008     0.894     3.000
         *         *         *    58.920         *    63.410    49.379     3.003    45.491     3.828     0.499     0.054     0.447     1.000
    46.770    44.100         *    58.250         *    62.160    45.014     3.558    44.248     3.786     0.811     0.027     0.162     1.000
         *         *         *    60.830         *         *    51.473     3.119    54.809     2.527     0.429     0.052     0.519     3.000
    74.590    71.100    76.640    82.700    87.700    85.920    70.151     3.653    70.162     3.650     0.003     0.000     0.997     3.000
    52.750    69.480         *         *         *         *    59.218     3.231    59.608     3.129     0.099     0.013     0.888     3.000
    48.240    55.280         *         *         *         *    50.290     3.060    48.557     4.015     0.465     0.126     0.409     1.000
         *         *         *    62.110         *    67.500    52.338     3.116    55.340     2.528     0.393     0.021     0.586     3.000
         *         *         *    50.430    54.420    60.700    42.765     3.153    40.869     3.619     0.761     0.101     0.138     1.000
         *         *         *    66.460         *         *    56.195     3.168    58.100     2.806     0.247     0.015     0.738     3.000
         *         *         *    47.250         *         *    42.221     2.208    39.217     3.408     0.563     0.360     0.077     1.000
    47.270    47.980    49.510    53.690    61.730    60.570    45.386     3.451    44.561     3.691     0.786     0.026     0.188     1.000
         *         *         *    41.070         *         *    39.562     1.372    42.318     0.100     0.414     0.566     0.021     2.000
    54.330    56.620    61.160    58.090         *    59.950    53.788     1.883    54.051     1.914     0.110     0.163     0.727     3.000
         *         *         *    51.560         *    43.160    45.363     0.511    46.653     0.102     0.148     0.810     0.042     2.000
         *         *         *    69.980         *    64.050    56.656     2.511    57.798     2.302     0.151     0.026     0.822     3.000
    26.140    31.320    42.620    44.380         *         *    32.452     3.647    32.295     3.750     0.961     0.037     0.002     1.000
         *         *         *    75.900    75.690    81.030    62.811     3.404    63.332     3.289     0.073     0.000     0.927     3.000
         *         *         *    60.900    63.180    70.820    50.860     3.415    47.263     4.221     0.502     0.014     0.485     1.000
    48.770    61.100    61.940    61.890         *         *    53.680     3.208    54.777     2.829     0.316     0.025     0.660     3.000
         *         *         *    52.570    53.590    50.780    45.416     1.840    40.593     3.098     0.434     0.419     0.148     1.000
         *         *         *    51.100         *         *    44.258     2.637    41.468     3.598     0.606     0.241     0.153     1.000
    41.740         *         *         *         *         *    43.280     2.845    42.601     3.787     0.662     0.240     0.097     1.000
    29.490    28.470    44.650    40.690    33.070    36.770    34.874     0.408    35.569     0.158     0.141     0.857     0.002     2.000
    57.010         *    61.700    66.540    71.670    68.140    57.183     2.975    57.761     2.828     0.133     0.006     0.861     3.000
    49.230    49.750    43.090    55.750    49.700    53.910    46.845     1.224    48.085     0.727     0.214     0.623     0.163     2.000
    50.820    54.040    58.290         *    55.550         *    50.919     1.727    51.358     1.806     0.196     0.314     0.490     3.000
         *         *         *    52.660    58.480         *    45.364     3.139    42.912     3.767     0.677     0.095     0.228     1.000
         *         *         *    54.750    57.160    59.320    45.855     2.867    42.889     3.580     0.617     0.120     0.263     1.000
         *         *         *    76.070    80.050    76.600    64.304     3.288    64.601     3.222     0.041     0.000     0.958     3.000
